time_less_than,mem_less_than,y_memAvg(MB),y_time(sec),y_sol(keuro),y_nScenarios,y_PV_mean,y_PV_std,y_Load_mean,y_Load_std,embedding_time,solve_time,#constraints,#variables
no,no,333.92701298701314,206.33506493506485,259.95,100.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,10649.235654354095,42.98568296432495,77610,5938
no,no,333.92701298701314,206.33506493506485,256.23,100.0,262.66770833333334,270.722787757911,310.02500029479165,159.83073876147768,10649.235654354095,44.83001899719238,77610,5938
no,no,333.92701298701314,206.33506493506485,265.36,100.0,263.81875,271.12750010853597,311.83958333333334,162.92226832601204,10649.235654354095,44.55630350112915,77610,5938
no,no,333.92701298701314,206.33506493506485,271.62999999999994,100.00000000000004,273.4322916666667,282.4094580181082,320.453125,171.67819396155423,10649.235654354095,40.42600989341736,77610,5938
no,no,333.92701298701314,206.33506493506485,268.54999999999995,100.00000000000004,270.70520833333336,279.0127044485727,319.5135416666667,164.72705683682707,10649.235654354095,38.15128469467163,77610,5938
no,no,333.92701298701314,206.33506493506485,278.00999999999993,100.00000000000004,271.88958333333335,279.4281923556743,321.3843750000001,167.9097663975884,10649.235654354095,40.657914400100715,77610,5938
no,no,no_sol,no_sol,no_sol,no_sol,295.090625,304.77359222261384,345.84166666666664,185.27619791513663,10649.235654354095,30.42929720878601,77610,5938
no,no,no_sol,no_sol,no_sol,no_sol,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,10649.235654354095,32.549128532409675,77610,5938
no,no,no_sol,no_sol,no_sol,no_sol,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,10649.235654354095,26.956798791885376,77610,5938
no,no,333.92701298701314,206.33506493506485,267.74999999999994,100.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,10649.235654354095,41.07884168624878,77610,5938
no,no,333.92701298701314,206.33506493506485,263.93999999999994,100.00000000000004,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,10649.235654354095,43.28995490074158,77610,5938
no,no,333.92701298701314,206.33506493506485,273.2799999999999,100.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,10649.235654354095,44.68188524246216,77610,5938
no,no,333.92701298701314,206.33506493506485,259.95,100.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,10649.235654354095,45.10841393470764,77610,5938
no,no,333.92701298701314,206.33506493506485,256.23,100.0,262.9375,271.0063053732945,310.34270833333335,159.99631033818122,10649.235654354095,51.34097361564636,77610,5938
no,no,333.92701298701314,206.33506493506485,265.36,100.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,10649.235654354095,45.87765407562256,77610,5938
no,no,328.24788235294125,194.3647058823529,275.23999999999995,97.00000000000004,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,10649.235654354095,43.396806955337524,77610,5938
no,no,333.92701298701314,206.33506493506485,278.00999999999993,100.00000000000004,272.58020833333336,280.9469636410461,321.73125,165.86233832138478,10649.235654354095,37.501006126403816,77610,5938
no,no,333.92701298701314,206.33506493506485,272.3999999999999,100.00000000000004,273.778125,281.3682189332176,323.6166666666666,169.0708718917077,10649.235654354095,39.5270586013794,77610,5938
no,no,333.92701298701314,206.33506493506485,263.0899999999999,100.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545098,10649.235654354095,47.08020567893982,77610,5938
no,no,333.92701298701314,206.33506493506485,259.32,100.0,264.81458333333336,272.93997736802817,312.5572916666667,161.1360758701527,10649.235654354095,51.98128747940064,77610,5938
no,no,333.92701298701314,206.33506493506485,269.48999999999995,100.0,265.96875,273.34187968568625,314.38958333333335,164.25286367313782,10649.235654354095,43.634602069854736,77610,5938
no,no,333.92701298701314,206.33506493506485,275.54,100.00000000000004,276.13958333333335,285.20777969723474,323.63125,173.37781439226154,10649.235654354095,39.54325366020202,77610,5938
no,no,333.92701298701314,206.33506493506485,271.64,100.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,10649.235654354095,43.713491916656494,77610,5938
