time_less_than,mem_less_than,y_memAvg(MB),y_time(sec),y_sol(keuro),y_nTraces,y_PV_mean,y_PV_std,y_Load_mean,y_Load_std,embedding_time,solve_time
no,no,88.35556818181819,59.470681818181816,296.19,90.00000000000004,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,1178.7819199562073,6.734156847000122
no,no,84.71682926829268,16.681951219512197,290.42999999999995,19.0,262.66770833333334,270.722787757911,310.02500029479165,159.83073876147768,1178.7819199562073,6.968052864074707
no,no,85.12773333333334,19.063200000000016,295.16,23.00000000000001,263.81875,271.12750010853597,311.83958333333334,162.92226832601204,1178.7819199562073,7.07162880897522
no,no,88.35556818181819,59.470681818181816,341.44,90.00000000000004,273.4322916666667,282.4094580181082,320.453125,171.67819396155423,1178.7819199562073,6.32323694229126
no,no,88.94467532467533,65.04909090909094,296.58999999999986,100.0,270.70520833333336,279.0127044485727,319.5135416666667,164.72705683682707,1178.7819199562073,6.945994138717651
no,no,88.94467532467533,65.04909090909094,300.26999999999987,100.0,271.88958333333335,279.4281923556743,321.3843750000001,167.9097663975884,1178.7819199562073,6.618385553359985
no,no,no_sol,no_sol,no_sol,no_sol,295.090625,304.77359222261384,345.84166666666664,185.27619791513663,1178.7819199562073,4.454921007156372
no,no,no_sol,no_sol,no_sol,no_sol,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,1178.7819199562073,4.308608055114746
no,no,no_sol,no_sol,no_sol,no_sol,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,1178.7819199562073,4.432133913040161
no,no,88.5998795180723,61.48795180722894,326.45999999999987,94.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,1178.7819199562073,7.037807941436768
no,no,88.88822784810127,64.42848101265821,293.6,99.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,1178.7819199562073,7.219660758972168
no,no,85.12773333333334,19.063200000000005,291.72,22.999999999999886,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,1178.7819199562073,7.495234251022339
no,no,88.35556818181819,59.470681818181816,296.19,90.00000000000001,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,1178.7819199562073,7.910799980163574
no,no,84.71682926829268,16.681951219512197,290.42999999999995,19.0,262.9375,271.0063053732945,310.34270833333335,159.99631033818122,1178.7819199562073,8.065235614776611
no,no,85.12773333333334,19.063200000000016,295.16,23.00000000000001,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,1178.7819199562073,8.575482130050661
no,no,88.53790123456791,60.96975308641974,369.94999999999993,93.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,1178.7819199562073,7.064972400665282
no,no,88.94467532467533,65.04909090909094,300.26999999999987,100.0,272.58020833333336,280.9469636410461,321.73125,165.86233832138478,1178.7819199562073,7.5610594749450675
no,no,84.71682926829268,16.681951219512197,310.31,19.0,273.778125,281.3682189332176,323.6166666666666,169.0708718917077,1178.7819199562073,7.008883953094482
no,no,88.59987951807285,61.48795180723423,306.45999999999987,94.00000000000885,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545098,1178.7819199562073,7.296630382537843
no,no,84.905,17.857435897435902,311.33,21.0,264.81458333333336,272.93997736802817,312.5572916666667,161.1360758701527,1178.7819199562073,7.764538288116455
no,no,88.88822784810127,64.42848101265821,299.67,99.0,265.96875,273.34187968568625,314.38958333333335,164.25286367313782,1178.7819199562073,7.746159076690674
no,no,88.5998795180723,61.48795180722894,369.94999999999993,94.0,276.13958333333335,285.20777969723474,323.63125,173.37781439226154,1178.7819199562073,6.824155569076537
no,no,88.53790123456791,60.96975308641974,311.16,93.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,1178.7819199562073,7.5603082180023184
no,no,84.37950617283965,14.25703703703779,315.5299999999998,14.999999999993689,274.57708333333335,282.19602874862187,324.5729166666667,169.57505742244757,1178.7819199562073,8.12535834312439
no,no,no_sol,no_sol,no_sol,no_sol,249.06770833333331,257.24515969482286,291.90416666666664,156.3760224564673,1178.7819199562073,4.716346502304077
no,no,no_sol,no_sol,no_sol,no_sol,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,1178.7819199562073,4.5048604011535645
