time_less_than,mem_less_than,y_memAvg(MB),y_time(sec),y_sol(keuro),y_nTraces,y_PV_mean,y_PV_std,y_Load_mean,y_Load_std,embedding_time,solve_time
no,no,88.94467532467533,65.04909090909094,296.5314285714285,100.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,19.915031909942627,0.25952792167663574
no,no,84.17166666666667,13.078076923076924,293.7309677419354,13.000000000000002,262.66770833333334,270.722787757911,310.02500029479165,159.8307387614777,19.915031909942627,0.28197240829467773
no,no,88.94467532467533,65.04909090909094,307.328947368421,100.0,263.81874999999997,271.12750010853597,311.83958333333334,162.92226832601202,19.915031909942627,0.2521328926086426
no,no,88.94467532467533,65.04909090909094,347.75295774647884,100.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,19.915031909942627,0.23470640182495117
no,no,88.94467532467533,65.04909090909094,297.8374999999999,100.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,19.915031909942627,0.24549555778503418
no,no,88.94467532467533,65.04909090909094,300.2699999999999,100.0,271.88958333333335,279.4281923556743,321.38437500000003,167.9097663975884,19.915031909942627,0.24380898475646973
no,no,no_sol,no_sol,no_sol,no_sol,295.090625,304.7735922226138,345.84166666666664,185.27619791513666,19.915031909942627,0.12642765045166016
no,no,no_sol,no_sol,no_sol,no_sol,292.15208333333334,301.1131694712024,344.81874999999997,177.77185244981138,19.915031909942627,0.13341450691223145
no,no,no_sol,no_sol,no_sol,no_sol,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,19.915031909942627,0.12829113006591797
no,no,88.94467532467533,65.04909090909094,326.8413157894736,100.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,19.915031909942627,0.2649548053741455
no,no,88.94467532467533,65.04909090909094,293.94833333333327,100.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,19.915031909942627,0.2657339572906494
no,no,88.94467532467533,65.04909090909094,296.5314285714285,100.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,19.915031909942627,0.2485642433166504
no,no,88.94467532467533,65.04909090909094,296.5314285714285,100.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,19.915031909942627,0.25464677810668945
no,no,84.17166666666667,13.078076923076924,293.7309677419354,13.000000000000002,262.9375,271.0063053732945,310.34270833333335,159.99631033818122,19.915031909942627,0.2686729431152344
no,no,88.94467532467533,65.04909090909094,307.328947368421,100.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,19.915031909942627,0.2621958255767822
no,no,88.94467532467533,65.04909090909094,361.2099999999999,100.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,19.915031909942627,0.2627556324005127
no,no,88.35556818181819,59.470681818181816,303.57,90.00000000000001,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,19.915031909942627,0.26561927795410156
no,no,84.17166666666667,13.078076923076924,332.7401351351351,13.000000000000002,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,19.915031909942627,0.2516937255859375
no,no,88.35556818181819,59.470681818181816,306.46,90.00000000000001,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,19.915031909942627,0.2676675319671631
no,no,84.17166666666667,13.078076923076924,310.1118181818182,13.000000000000002,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,19.915031909942627,0.2660024166107178
no,no,88.94467532467533,65.04909090909094,300.0324999999999,100.0,265.96875,273.34187968568625,314.38958333333335,164.2528636731378,19.915031909942627,0.2550966739654541
no,no,88.35556818181819,59.470681818181816,369.95,90.00000000000001,276.13958333333335,285.20777969723474,323.63125,173.37781439226154,19.915031909942627,0.24979305267333984
no,no,88.35556818181816,59.470681818181646,311.15999999999997,89.99999999999974,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,19.915031909942627,0.2541327476501465
no,no,88.94467532467533,65.04909090909094,312.0774468085106,100.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,19.915031909942627,0.2439286708831787
no,no,no_sol,no_sol,no_sol,no_sol,249.06770833333334,257.24515969482286,291.90416666666664,156.37602245646727,19.915031909942627,0.13606739044189453
no,no,no_sol,no_sol,no_sol,no_sol,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,19.915031909942627,0.1332864761352539
no,no,no_sol,no_sol,no_sol,no_sol,247.6604166666667,254.5271070531121,292.75,152.9459034266691,19.915031909942627,0.12847042083740234
no,no,88.35556818181819,59.470681818181816,312.67,90.00000000000001,268.02187499999997,276.81694997293374,314.1177083333333,168.27839903638332,19.915031909942627,0.2543175220489502
no,no,83.95182926829268,11.849756097560977,321.4871199999999,11.000000000000002,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,19.915031909942627,0.2769644260406494
no,no,88.94467532467533,65.04909090909094,315.1612499999999,100.0,266.50624999999997,273.8953361583049,315.028125,164.58755882959193,19.915031909942627,0.26485228538513184
no,83,82.843,5.748874999999981,382.77560975609754,1,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,19.915031909942627,0.25179505348205566
no,83,82.843,5.748874999999981,382.77560975609754,1,262.66770833333334,270.722787757911,310.02500029479165,159.8307387614777,19.915031909942627,0.2433004379272461
no,83,82.843,5.748874999999981,382.77560975609754,1,263.81874999999997,271.12750010853597,311.83958333333334,162.92226832601202,19.915031909942627,0.2509880065917969
no,83,82.843,5.748874999999981,427.9463636363636,1,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,19.915031909942627,0.2592322826385498
no,83,82.843,5.748874999999981,383.73833333333334,1,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,19.915031909942627,0.2484273910522461
no,83,82.843,5.748874999999981,405.565,1,271.88958333333335,279.4281923556743,321.38437500000003,167.9097663975884,19.915031909942627,0.2841050624847412
no,83,no_sol,no_sol,no_sol,no_sol,295.090625,304.7735922226138,345.84166666666664,185.27619791513666,19.915031909942627,0.16262102127075195
no,83,no_sol,no_sol,no_sol,no_sol,292.15208333333334,301.1131694712024,344.81874999999997,177.77185244981138,19.915031909942627,0.14818120002746582
no,83,no_sol,no_sol,no_sol,no_sol,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,19.915031909942627,0.13336396217346191
no,83,82.843,5.748874999999981,420.00384615384615,1,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,19.915031909942627,0.22980690002441406
no,83,82.843,5.748874999999981,353.1942857142857,1,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,19.915031909942627,0.23880696296691895
no,83,82.843,5.748874999999981,383.73833333333334,1,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,19.915031909942627,0.24797773361206055
no,83,82.843,5.748874999999981,382.77560975609754,1,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,19.915031909942627,0.22475767135620117
no,83,82.843,5.748874999999981,382.77560975609754,1,262.9375,271.0063053732945,310.34270833333335,159.99631033818122,19.915031909942627,0.3116147518157959
no,83,82.843,5.748874999999981,382.77560975609754,1,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,19.915031909942627,0.24733495712280273
no,83,82.93710526315789,6.398684210526317,423.5575,2.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,19.915031909942627,0.227524995803833
no,83,82.843,5.748874999999981,405.565,1,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,19.915031909942627,0.2396714687347412
no,83,82.843,5.748874999999981,427.9463636363636,1,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,19.915031909942627,0.22196650505065918
no,83,82.843,5.748874999999981,382.77560975609754,1,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,19.915031909942627,0.24353456497192383
no,83,82.843,5.748874999999981,382.77560975609754,1,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,19.915031909942627,0.2440166473388672
no,83,82.843,5.748874999999981,382.77560975609754,1,265.96875,273.34187968568625,314.38958333333335,164.2528636731378,19.915031909942627,0.2503371238708496
no,83,82.843,5.748875,459.0774999999995,1,276.13958333333335,285.20777969723474,323.63125,173.37781439226154,19.915031909942627,0.2232968807220459
no,83,82.843,5.748874999999981,405.565,1,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,19.915031909942627,0.2846965789794922
no,83,82.843,5.748874999999981,427.9463636363636,1,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,19.915031909942627,0.2351677417755127
no,83,no_sol,no_sol,no_sol,no_sol,249.06770833333334,257.24515969482286,291.90416666666664,156.37602245646727,19.915031909942627,0.15618252754211426
no,83,no_sol,no_sol,no_sol,no_sol,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,19.915031909942627,0.1523447036743164
no,83,no_sol,no_sol,no_sol,no_sol,247.6604166666667,254.5271070531121,292.75,152.9459034266691,19.915031909942627,0.1291804313659668
no,83,82.843,5.748874999999981,382.77560975609754,1,268.02187499999997,276.81694997293374,314.1177083333333,168.27839903638332,19.915031909942627,0.2334895133972168
no,83,82.843,5.748874999999981,382.77560975609754,1,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,19.915031909942627,0.2493455410003662
no,83,82.843,5.748874999999981,382.77560975609754,1,266.50624999999997,273.8953361583049,315.028125,164.58755882959193,19.915031909942627,0.31084609031677246
no,87,86.9315,48.68774999999999,321.42345132743367,71.00000000000001,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,19.915031909942627,0.2772045135498047
no,87,84.17166666666667,13.078076923076924,293.7309677419355,13.000000000000002,262.66770833333334,270.722787757911,310.02500029479165,159.8307387614777,19.915031909942627,0.28285813331604004
no,87,86.17620253164557,23.265063291139235,310.11181818181814,29.999999999999993,263.81874999999997,271.12750010853597,311.83958333333334,162.92226832601202,19.915031909942627,0.2802596092224121
