instance,improvement,sol(keuro),cplex_time,status,y_memAvg(MB),y_time(sec),y_sol(keuro),y_nTraces,y_memAvg(MB) %,y_time(sec) %,,PV_mean,PV_std,Load_mean,Load_std,baseline_memAvg(MB),baseline_time(sec),,baseline_memAvg(MB),baseline_time(sec)
0,0.02,368.67,0.0113,integer optimal solution,168.26,37.49,344.16,1,0.2958,0.0285,,271.11,279.88,318.33,170.15,49.77,1.07,,49.77,1.07
0,0.05,357.38,0.0306,integer optimal solution,168.26,37.49,344.16,1,0.2958,0.0285,,,,,,,,,49.77,1.07
0,0.07,349.86,0.0089,integer optimal solution,168.26,37.49,344.16,1,0.2958,0.0285,,,,,,,,,49.77,1.07
0,0.10,338.57,0.0048,No solution,,,,,,,,,,,,,,,49.77,1.07
1,0.02,401.28,0.0096,integer optimal solution,168.26,37.49,365.96,1,0.2963,0.0376,,269.86,277.66,324.43,176.99,49.86,1.41,,49.86,1.41
1,0.05,389.00,0.0091,integer optimal solution,168.26,37.49,365.96,1,0.2963,0.0376,,,,,,,,,49.86,1.41
1,0.07,380.81,0.0090,integer optimal solution,168.26,37.49,365.96,1,0.2963,0.0376,,,,,,,,,49.86,1.41
1,0.10,368.52,0.0094,integer optimal solution,168.26,37.49,365.96,1,0.2963,0.0376,,,,,,,,,49.86,1.41
1,0.12,360.33,0.0082,integer optimal solution,2737.05,356.36,348.48,23,0.0182,0.0040,,,,,,,,,49.86,1.41
1,0.15,348.05,0.0017,No solution,,,,,,,,,,,,,,,49.86,1.41
2,0.02,399.96,0.0098,integer optimal solution,168.26,37.49,359.78,1,0.2965,0.0357,,267.45,276.59,322.36,174.04,49.89,1.34,,49.89,1.34
2,0.05,387.71,0.0098,integer optimal solution,168.26,37.49,359.78,1,0.2965,0.0357,,,,,,,,,49.89,1.34
2,0.07,379.55,0.0107,integer optimal solution,168.26,37.49,359.78,1,0.2965,0.0357,,,,,,,,,49.89,1.34
2,0.10,367.31,0.0100,integer optimal solution,168.26,37.49,359.78,1,0.2965,0.0357,,,,,,,,,49.89,1.34
2,0.12,359.15,0.0096,integer optimal solution,468.29,37.49,305.74,3,0.1065,0.0357,,,,,,,,,49.89,1.34
2,0.15,346.90,0.0110,integer optimal solution,468.29,37.49,305.74,3,0.1065,0.0357,,,,,,,,,49.89,1.34
2,0.17,338.74,0.0098,integer optimal solution,468.29,37.49,305.74,3,0.1065,0.0357,,,,,,,,,49.89,1.34
2,0.20,326.50,0.0096,integer optimal solution,468.29,37.49,305.74,3,0.1065,0.0357,,,,,,,,,49.89,1.34
2,0.22,318.33,0.0087,integer optimal solution,468.29,37.49,305.74,3,0.1065,0.0357,,,,,,,,,49.89,1.34
2,0.25,306.09,0.0093,integer optimal solution,468.29,37.49,305.74,3,0.1065,0.0357,,,,,,,,,49.89,1.34
2,0.27,297.93,0.0016,No solution,,,,,,,,,,,,,,,49.89,1.34
3,0.02,371.32,0.0091,integer optimal solution,168.26,37.49,344.16,1,0.2969,0.0368,,270.67,279.47,318.44,170.88,49.95,1.38,,49.95,1.38
3,0.05,359.96,0.0096,integer optimal solution,168.26,37.49,344.16,1,0.2969,0.0368,,,,,,,,,49.95,1.38
3,0.07,352.38,0.0086,integer optimal solution,168.26,37.49,344.16,1,0.2969,0.0368,,,,,,,,,49.95,1.38
3,0.10,341.01,0.0017,No solution,,,,,,,,,,,,,,,49.95,1.38
4,0.02,387.94,0.0098,integer optimal solution,168.26,37.49,329.69,1,0.2978,0.0336,,270.19,277.39,321.66,173.31,50.11,1.26,,50.11,1.26
4,0.05,376.07,0.0096,integer optimal solution,168.26,37.49,329.69,1,0.2978,0.0336,,,,,,,,,50.11,1.26
4,0.07,368.15,0.0104,integer optimal solution,168.26,37.49,329.69,1,0.2978,0.0336,,,,,,,,,50.11,1.26
4,0.10,356.27,0.0098,integer optimal solution,168.26,37.49,329.69,1,0.2978,0.0336,,,,,,,,,50.11,1.26
4,0.12,348.36,0.0100,integer optimal solution,168.26,37.49,329.69,1,0.2978,0.0336,,,,,,,,,50.11,1.26
4,0.15,336.48,0.0098,integer optimal solution,168.26,37.49,329.69,1,0.2978,0.0336,,,,,,,,,50.11,1.26
4,0.17,328.56,0.0017,No solution,,,,,,,,,,,,,,,50.11,1.26
5,0.02,396.33,0.0091,integer optimal solution,3240.47,503.05,382.98,26,0.0155,0.0026,,269.76,279.49,323.94,173.60,50.14,1.33,,50.14,1.33
5,0.05,384.20,0.0081,integer optimal solution,3240.47,503.05,382.98,26,0.0155,0.0026,,,,,,,,,50.14,1.33
5,0.07,376.11,0.0017,No solution,,,,,,,,,,,,,,,50.14,1.33
6,0.02,404.66,0.0128,integer optimal solution,3240.47,503.05,382.98,26,0.0155,0.0025,,269.46,278.54,325.92,174.24,50.19,1.28,,50.19,1.28
6,0.05,392.27,0.0085,integer optimal solution,3240.47,503.05,382.98,26,0.0155,0.0025,,,,,,,,,50.19,1.28
6,0.07,384.02,0.0106,integer optimal solution,3240.47,503.05,382.98,26,0.0155,0.0025,,,,,,,,,50.19,1.28
6,0.10,371.63,0.0019,No solution,,,,,,,,,,,,,,,50.19,1.28
7,0.02,399.79,0.0088,integer optimal solution,168.26,37.49,364.02,1,0.2985,0.0347,,274.60,283.02,328.15,176.06,50.23,1.30,,50.23,1.30
7,0.05,387.55,0.0104,integer optimal solution,168.26,37.49,364.02,1,0.2985,0.0347,,,,,,,,,50.23,1.30
7,0.07,379.39,0.0106,integer optimal solution,168.26,37.49,364.02,1,0.2985,0.0347,,,,,,,,,50.23,1.30
7,0.10,367.16,0.0089,integer optimal solution,168.26,37.49,364.02,1,0.2985,0.0347,,,,,,,,,50.23,1.30
7,0.12,359.00,0.0018,No solution,,,,,,,,,,,,,,,50.23,1.30
8,0.02,392.56,0.0018,No solution,,,,,,,,272.11,280.05,324.88,174.79,50.31,1.31,,50.31,1.31
9,0.02,409.27,0.0097,integer optimal solution,168.26,37.49,329.91,1,0.2994,0.0347,,271.98,279.58,328.96,176.01,50.38,1.30,,50.38,1.30
9,0.05,396.74,0.0098,integer optimal solution,168.26,37.49,329.91,1,0.2994,0.0347,,,,,,,,,50.38,1.30
9,0.07,388.39,0.0122,integer optimal solution,168.26,37.49,329.91,1,0.2994,0.0347,,,,,,,,,50.38,1.30
9,0.10,375.86,0.0089,integer optimal solution,168.26,37.49,329.91,1,0.2994,0.0347,,,,,,,,,50.38,1.30
9,0.12,367.51,0.0089,integer optimal solution,168.26,37.49,329.91,1,0.2994,0.0347,,,,,,,,,50.38,1.30
9,0.15,354.98,0.0100,integer optimal solution,168.26,37.49,329.91,1,0.2994,0.0347,,,,,,,,,50.38,1.30
9,0.17,346.62,0.0100,integer optimal solution,168.26,37.49,329.91,1,0.2994,0.0347,,,,,,,,,50.38,1.30
9,0.20,334.10,0.0094,integer optimal solution,168.26,37.49,329.91,1,0.2994,0.0347,,,,,,,,,50.38,1.30
9,0.22,325.74,0.0018,No solution,,,,,,,,,,,,,,,50.38,1.30
10,0.02,401.81,0.0017,No solution,,,,,,,,274.39,281.12,329.48,176.06,50.39,1.31,,50.39,1.31
11,0.02,391.44,0.0019,No solution,,,,,,,,276.03,284.04,328.42,172.21,50.50,1.32,,50.50,1.32
13,0.02,397.72,0.0091,integer optimal solution,168.26,37.49,396.60,1,0.3024,0.0347,,275.82,280.88,330.07,174.98,50.88,1.30,,50.88,1.30
13,0.05,385.55,0.0019,No solution,,,,,,,,,,,,,,,50.88,1.30
14,0.02,409.98,0.0111,integer optimal solution,168.26,37.49,329.91,1,0.3024,0.0341,,274.63,278.33,331.56,176.42,50.88,1.28,,50.88,1.28
14,0.05,397.43,0.0102,integer optimal solution,168.26,37.49,329.91,1,0.3024,0.0341,,,,,,,,,50.88,1.28
14,0.07,389.07,0.0106,integer optimal solution,168.26,37.49,329.91,1,0.3024,0.0341,,,,,,,,,50.88,1.28
14,0.10,376.52,0.0092,integer optimal solution,168.26,37.49,329.91,1,0.3024,0.0341,,,,,,,,,50.88,1.28
14,0.12,368.15,0.0090,integer optimal solution,168.26,37.49,329.91,1,0.3024,0.0341,,,,,,,,,50.88,1.28
14,0.15,355.60,0.0096,integer optimal solution,168.26,37.49,329.91,1,0.3024,0.0341,,,,,,,,,50.88,1.28
14,0.17,347.23,0.0093,integer optimal solution,168.26,37.49,329.91,1,0.3024,0.0341,,,,,,,,,50.88,1.28
14,0.20,334.68,0.0099,integer optimal solution,168.26,37.49,329.91,1,0.3024,0.0341,,,,,,,,,50.88,1.28
14,0.22,326.31,0.0016,No solution,,,,,,,,,,,,,,,50.88,1.28
15,0.02,402.04,0.0092,integer optimal solution,168.26,37.49,363.61,1,0.3024,0.0355,,277.55,282.60,332.37,176.71,50.89,1.33,,50.89,1.33
15,0.05,389.73,0.0091,integer optimal solution,168.26,37.49,363.61,1,0.3024,0.0355,,,,,,,,,50.89,1.33
15,0.07,381.52,0.0090,integer optimal solution,168.26,37.49,363.61,1,0.3024,0.0355,,,,,,,,,50.89,1.33
15,0.10,369.22,0.0089,integer optimal solution,168.26,37.49,363.61,1,0.3024,0.0355,,,,,,,,,50.89,1.33
15,0.12,361.01,0.0017,No solution,,,,,,,,,,,,,,,50.89,1.33
16,0.02,398.61,0.0019,No solution,,,,,,,,274.90,280.79,330.29,172.65,50.89,1.26,,50.89,1.26
17,0.02,411.83,0.0089,integer optimal solution,168.26,37.49,409.73,1,0.3026,0.0344,,276.66,283.74,333.90,174.75,50.91,1.29,,50.91,1.29
17,0.05,399.22,0.0017,No solution,,,,,,,,,,,,,,,50.91,1.29
18,0.02,401.12,0.0088,integer optimal solution,168.26,37.49,363.61,1,0.3035,0.0336,,277.98,282.55,332.22,175.29,51.07,1.26,,51.07,1.26
18,0.05,388.84,0.0088,integer optimal solution,168.26,37.49,363.61,1,0.3035,0.0336,,,,,,,,,51.07,1.26
18,0.07,380.66,0.0090,integer optimal solution,168.26,37.49,363.61,1,0.3035,0.0336,,,,,,,,,51.07,1.26
18,0.10,368.38,0.0093,integer optimal solution,168.26,37.49,363.61,1,0.3035,0.0336,,,,,,,,,51.07,1.26
18,0.12,360.19,0.0019,No solution,,,,,,,,,,,,,,,51.07,1.26
19,0.02,417.05,0.0099,integer optimal solution,168.26,37.49,415.17,1,0.3039,0.0291,,274.99,280.01,334.30,175.31,51.13,1.09,,51.13,1.09
19,0.05,404.28,0.0029,No solution,,,,,,,,,,,,,,,51.13,1.09
20,0.02,409.64,0.0090,integer optimal solution,168.26,37.49,329.91,1,0.3041,0.0339,,274.86,278.63,332.45,171.61,51.17,1.27,,51.17,1.27
20,0.05,397.10,0.0093,integer optimal solution,168.26,37.49,329.91,1,0.3041,0.0339,,,,,,,,,51.17,1.27
20,0.07,388.74,0.0118,integer optimal solution,168.26,37.49,329.91,1,0.3041,0.0339,,,,,,,,,51.17,1.27
20,0.10,376.20,0.0091,integer optimal solution,168.26,37.49,329.91,1,0.3041,0.0339,,,,,,,,,51.17,1.27
20,0.12,367.84,0.0091,integer optimal solution,168.26,37.49,329.91,1,0.3041,0.0339,,,,,,,,,51.17,1.27
20,0.15,355.30,0.0091,integer optimal solution,168.26,37.49,329.91,1,0.3041,0.0339,,,,,,,,,51.17,1.27
20,0.17,346.94,0.0098,integer optimal solution,168.26,37.49,329.91,1,0.3041,0.0339,,,,,,,,,51.17,1.27
20,0.20,334.40,0.0148,integer optimal solution,168.26,37.49,329.91,1,0.3041,0.0339,,,,,,,,,51.17,1.27
20,0.22,326.04,0.0019,No solution,,,,,,,,,,,,,,,51.17,1.27
21,0.02,396.18,0.0102,integer optimal solution,168.26,37.49,363.61,1,0.3042,0.0355,,279.54,282.27,333.56,175.39,51.18,1.33,,51.18,1.33
21,0.05,384.06,0.0090,integer optimal solution,168.26,37.49,363.61,1,0.3042,0.0355,,,,,,,,,51.18,1.33
21,0.07,375.97,0.0101,integer optimal solution,168.26,37.49,363.61,1,0.3042,0.0355,,,,,,,,,51.18,1.33
21,0.10,363.84,0.0095,integer optimal solution,168.26,37.49,363.61,1,0.3042,0.0355,,,,,,,,,51.18,1.33
21,0.12,355.76,0.0018,No solution,,,,,,,,,,,,,,,51.18,1.33
22,0.02,386.26,0.0094,integer optimal solution,3240.47,503.05,382.98,26,0.0154,0.0027,,269.36,278.45,320.58,173.26,49.85,1.36,,49.85,1.36
22,0.05,374.43,0.0024,No solution,,,,,,,,,,,,,,,49.85,1.36
23,0.02,388.43,0.0105,integer optimal solution,168.26,37.49,365.96,1,0.2965,0.0336,,269.33,277.57,320.06,176.08,49.89,1.26,,49.89,1.26
23,0.05,376.54,0.0096,integer optimal solution,168.26,37.49,365.96,1,0.2965,0.0336,,,,,,,,,49.89,1.26
23,0.07,368.61,0.0102,integer optimal solution,168.26,37.49,365.96,1,0.2965,0.0336,,,,,,,,,49.89,1.26
23,0.10,356.72,0.0088,integer optimal solution,2737.05,356.36,348.48,23,0.0182,0.0035,,,,,,,,,49.89,1.26
23,0.12,348.80,0.0086,integer optimal solution,2737.05,356.36,348.48,23,0.0182,0.0035,,,,,,,,,49.89,1.26
23,0.15,336.91,0.0018,No solution,,,,,,,,,,,,,,,49.89,1.26
24,0.02,397.12,0.0089,integer optimal solution,168.26,37.49,344.16,1,0.2966,0.0363,,270.65,279.73,324.68,175.68,49.91,1.36,,49.91,1.36
24,0.05,384.96,0.0122,integer optimal solution,168.26,37.49,344.16,1,0.2966,0.0363,,,,,,,,,49.91,1.36
24,0.07,376.85,0.0092,integer optimal solution,168.26,37.49,344.16,1,0.2966,0.0363,,,,,,,,,49.91,1.36
24,0.10,364.70,0.0089,integer optimal solution,168.26,37.49,344.16,1,0.2966,0.0363,,,,,,,,,49.91,1.36
24,0.12,356.59,0.0093,integer optimal solution,168.26,37.49,344.16,1,0.2966,0.0363,,,,,,,,,49.91,1.36
24,0.15,344.44,0.0117,integer optimal solution,168.26,37.49,344.16,1,0.2966,0.0363,,,,,,,,,49.91,1.36
24,0.17,336.33,0.0021,No solution,,,,,,,,,,,,,,,49.91,1.36
27,0.02,391.24,0.0090,integer optimal solution,168.26,37.49,344.16,1,0.2968,0.0349,,271.07,279.91,323.29,175.81,49.94,1.31,,49.94,1.31
27,0.05,379.26,0.0090,integer optimal solution,168.26,37.49,344.16,1,0.2968,0.0349,,,,,,,,,49.94,1.31
27,0.07,371.27,0.0094,integer optimal solution,168.26,37.49,344.16,1,0.2968,0.0349,,,,,,,,,49.94,1.31
27,0.10,359.30,0.0089,integer optimal solution,168.26,37.49,344.16,1,0.2968,0.0349,,,,,,,,,49.94,1.31
27,0.12,351.31,0.0090,integer optimal solution,168.26,37.49,344.16,1,0.2968,0.0349,,,,,,,,,49.94,1.31
27,0.15,339.34,0.0019,No solution,,,,,,,,,,,,,,,49.94,1.31
28,0.02,393.20,0.0080,integer optimal solution,3240.47,503.05,382.98,26,0.0154,0.0025,,269.73,279.67,322.10,175.15,49.95,1.28,,49.95,1.28
28,0.05,381.16,0.0016,No solution,,,,,,,,,,,,,,,49.95,1.28
31,0.02,394.06,0.0108,integer optimal solution,168.26,37.49,359.78,1,0.2972,0.0360,,268.36,277.07,321.86,173.43,50.01,1.35,,50.01,1.35
31,0.05,382.00,0.0141,integer optimal solution,168.26,37.49,359.78,1,0.2972,0.0360,,,,,,,,,50.01,1.35
31,0.07,373.95,0.0101,integer optimal solution,168.26,37.49,359.78,1,0.2972,0.0360,,,,,,,,,50.01,1.35
31,0.10,361.89,0.0098,integer optimal solution,168.26,37.49,359.78,1,0.2972,0.0360,,,,,,,,,50.01,1.35
31,0.12,353.85,0.0105,integer optimal solution,468.29,37.49,305.74,3,0.1068,0.0360,,,,,,,,,50.01,1.35
31,0.15,341.79,0.0201,integer optimal solution,468.29,37.49,305.74,3,0.1068,0.0360,,,,,,,,,50.01,1.35
31,0.17,333.74,0.0097,integer optimal solution,468.29,37.49,305.74,3,0.1068,0.0360,,,,,,,,,50.01,1.35
31,0.20,321.68,0.0091,integer optimal solution,468.29,37.49,305.74,3,0.1068,0.0360,,,,,,,,,50.01,1.35
31,0.22,313.64,0.0094,integer optimal solution,468.29,37.49,305.74,3,0.1068,0.0360,,,,,,,,,50.01,1.35
31,0.25,301.58,0.0017,No solution,,,,,,,,,,,,,,,50.01,1.35
32,0.02,367.68,0.0089,integer optimal solution,1595.44,130.51,359.40,12,0.0314,0.0100,,272.00,280.96,318.64,170.87,50.02,1.30,,50.02,1.30
32,0.05,356.42,0.0016,No solution,,,,,,,,,,,,,,,50.02,1.30
33,0.02,396.04,0.0016,No solution,,,,,,,,272.85,281.22,326.21,176.15,50.03,1.30,,50.03,1.30
35,0.02,383.49,0.0016,No solution,,,,,,,,271.50,280.67,322.88,172.87,50.04,1.29,,50.04,1.29
37,0.02,400.84,0.0016,No solution,,,,,,,,272.05,280.42,325.81,175.50,50.07,1.27,,50.07,1.27
39,0.02,378.33,0.0093,integer optimal solution,1595.44,130.51,359.40,12,0.0314,0.0102,,271.72,280.17,321.77,168.65,50.13,1.33,,50.13,1.33
39,0.05,366.75,0.0170,integer optimal solution,1595.44,130.51,359.40,12,0.0314,0.0102,,,,,,,,,50.13,1.33
39,0.07,359.03,0.0017,No solution,,,,,,,,,,,,,,,50.13,1.33
40,0.02,390.33,0.0016,No solution,,,,,,,,271.94,280.16,323.89,174.57,50.17,1.29,,50.17,1.29
