instance,improvement,sol(keuro),cplex_time,status,y_memAvg(MB),y_time(sec),y_sol(keuro),y_nTraces,y_memAvg(MB) %,y_time(sec) %,,PV_mean,PV_std,Load_mean,Load_std,baseline_memAvg(MB)no,baseline_time(sec)no,,baseline_memAvg(MB),baseline_time(sec)
0,0.02,368.67,4.1692,integer optimal solution,396.82,18.39,314.08,3,0.1254,0.0582,,271.1114583,279.8789295,318.334375,170.1539559,49.77,1.07,,49.77,1.07
0,0.05,357.38,4.1857,integer optimal solution,396.82,18.39,314.08,3,0.1254,0.0582,,,,,,,,,49.77,1.07
0,0.07,349.86,4.1628,integer optimal solution,396.82,18.39,314.08,3,0.1254,0.0582,,,,,,,,,49.77,1.07
0,0.10,338.57,4.2253,integer optimal solution,396.82,18.39,314.08,3,0.1254,0.0582,,,,,,,,,49.77,1.07
0,0.12,331.05,4.3145,integer optimal solution,396.82,18.39,314.08,3,0.1254,0.0582,,,,,,,,,49.77,1.07
0,0.15,319.76,4.3050,integer optimal solution,396.82,18.39,314.08,3,0.1254,0.0582,,,,,,,,,49.77,1.07
0,0.17,312.24,4.0964,integer optimal solution,685.65,33.55,306.41,5,0.0726,0.0319,,,,,,,,,49.77,1.07
0,0.20,300.95,4.1521,integer optimal solution,2810.77,355.76,299.55,23,0.0177,0.0030,,,,,,,,,49.77,1.07
0,0.22,293.43,4.1553,No solution,,,,,,,,,,,,,,,49.77,1.07
1,0.02,401.28,4.4188,integer optimal solution,88.92,9.51,386.88,1,0.5607,0.1483,,269.8552083,277.6604341,324.428125,176.9939004,49.86,1.41,,49.86,1.41
1,0.05,389.00,4.4841,integer optimal solution,88.92,9.51,386.88,1,0.5607,0.1483,,,,,,,,,49.86,1.41
1,0.07,380.81,4.4861,integer optimal solution,396.82,18.39,317.53,3,0.1256,0.0767,,,,,,,,,49.86,1.41
1,0.10,368.52,4.4121,integer optimal solution,396.82,18.39,317.53,3,0.1256,0.0767,,,,,,,,,49.86,1.41
1,0.12,360.33,4.4851,integer optimal solution,396.82,18.39,317.53,3,0.1256,0.0767,,,,,,,,,49.86,1.41
1,0.15,348.05,4.4284,integer optimal solution,396.82,18.39,317.53,3,0.1256,0.0767,,,,,,,,,49.86,1.41
1,0.17,339.86,4.3679,integer optimal solution,396.82,18.39,317.53,3,0.1256,0.0767,,,,,,,,,49.86,1.41
1,0.20,327.58,4.3179,integer optimal solution,396.82,18.39,317.53,3,0.1256,0.0767,,,,,,,,,49.86,1.41
1,0.22,319.39,4.3572,integer optimal solution,396.82,18.39,317.53,3,0.1256,0.0767,,,,,,,,,49.86,1.41
1,0.25,307.10,4.3883,No solution,,,,,,,,,,,,,,,49.86,1.41
2,0.02,399.96,4.6028,integer optimal solution,88.92,9.51,337.86,1,0.5611,0.1409,,267.4541667,276.5898784,322.359375,174.0407828,49.89,1.34,,49.89,1.34
2,0.05,387.71,4.5105,integer optimal solution,88.92,9.51,337.86,1,0.5611,0.1409,,,,,,,,,49.89,1.34
