time_less_than,mem_less_than,b_ANTICIPATE,b_CONTINGENCY,y_ANTICIPATE_memAvg(MB),y_ANTICIPATE_time(sec),y_ANTICIPATE_sol(keuro),y_CONTINGENCY_memAvg(MB),y_CONTINGENCY_time(sec),y_CONTINGENCY_sol(keuro),y_nTraces,y_nScenarios,y_PV_mean,y_PV_std,y_Load_mean,y_Load_std,embedding_time,solve_time,#constraints,#variables
no,no,0,1.0,60.11750000000001,1.9087500000000008,364.16,82.84300000000007,5.748874999999998,369.19,1.0,1.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,22351.325761318207,81.90426659584045,111282,8541
no,no,0,1.0,60.11750000000001,1.9087500000000008,360.44,82.84300000000007,5.748874999999998,379.77,1.0,1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,22351.325761318207,143.52964568138125,111282,8541
no,no,0,1.0,60.11750000000001,1.9087500000000008,369.57,82.84300000000007,5.748874999999998,350.52,1.0,1.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,22351.325761318207,135.59439158439636,111282,8541
no,no,0,1.0,60.11750000000001,1.9087500000000008,375.84,82.84300000000007,5.748874999999998,432.67,1.0,1.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,22351.325761318207,129.67295694351196,111282,8541
no,no,0,1.0,60.11750000000001,1.9087500000000008,372.01,82.84300000000007,5.748874999999998,399.22,1.0,1.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,22351.325761318207,134.69973182678223,111282,8541
no,no,0,1.0,60.11750000000001,1.9087500000000008,381.42,82.84300000000007,5.748874999999998,375.01,1.0,1.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,22351.325761318207,132.23954319953918,111282,8541
no,no,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,22351.325761318207,85.67173910140991,111282,8541
no,no,0,1.0,60.11750000000001,1.9087500000000008,412.35,82.84300000000007,5.748874999999998,595.0,1.0,1.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,22351.325761318207,63.92210865020752,111282,8541
no,no,0,1.0,60.11750000000001,1.9087500000000008,413.0,82.84300000000007,5.748874999999998,595.0,1.0,1.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,22351.325761318207,104.34446978569032,111282,8541
no,no,0,1.0,60.11750000000001,1.9087500000000008,371.95,82.84300000000007,5.748874999999998,413.6228571428571,1.0,1.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,22351.325761318207,127.92268347740172,111282,8541
no,no,0,1.0,60.11750000000001,1.9087500000000008,368.15,82.84300000000007,5.748874999999998,389.49,1.0,1.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,22351.325761318207,132.84468293190002,111282,8541
no,no,0,1.0,60.11750000000001,1.9087500000000008,377.49,82.84300000000007,5.748874999999998,363.56,1.0,1.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,22351.325761318207,132.687894821167,111282,8541
no,no,0,1.0,60.11750000000001,1.9087500000000008,364.16,82.84300000000007,5.748874999999998,369.19,1.0,1.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,22351.325761318207,140.84558963775635,111282,8541
no,no,0,1.0,60.11750000000001,1.9087500000000008,360.47,82.84300000000007,5.748874999999998,379.75,1.0,1.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,22351.325761318207,143.11980199813843,111282,8541
no,no,0,1.0,60.11750000000001,1.9087500000000008,369.57,82.84300000000007,5.748874999999998,350.52,1.0,1.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,22351.325761318207,134.18568468093872,111282,8541
no,no,0,1.0,60.11750000000001,1.9087500000000008,379.75,82.84300000000007,5.748874999999998,461.6,1.0,1.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,22351.325761318207,126.64086842536926,111282,8541
no,no,0,1.0,60.11750000000001,1.9087500000000008,375.85,82.84300000000007,5.748874999999998,375.01,1.0,1.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,22351.325761318207,133.22021293640137,111282,8541
no,no,0,1.0,60.11750000000001,1.9087500000000008,376.59,82.84300000000007,5.748874999999998,463.59,1.0,1.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,22351.325761318207,127.47676205635072,111282,8541
no,no,0,1.0,60.11750000000001,1.9087500000000008,367.3,82.84300000000007,5.748874999999998,382.84,1.0,1.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,22351.325761318207,133.14067578315735,111282,8541
no,no,0,1.0,60.11750000000001,1.9087500000000008,363.53,82.84300000000007,5.748874999999998,382.02,1.0,1.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,22351.325761318207,135.00437951087952,111282,8541
no,no,0,1.0,60.11750000000001,1.9087500000000008,368.07,82.84300000000007,5.748874999999998,355.42,1.0,1.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,22351.325761318207,133.91671180725098,111282,8541
no,no,0,1.0,60.11750000000001,1.9087500000000008,379.75,82.84300000000007,5.748874999999998,461.6,1.0,1.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,22351.325761318207,126.37664341926576,111282,8541
no,no,0,1.0,60.11750000000001,1.9087500000000008,375.85,82.84300000000007,5.748874999999998,412.06,1.0,1.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,22351.325761318207,129.80087399482727,111282,8541
no,no,0,1.0,60.11750000000001,1.9087500000000008,385.41,82.84300000000007,5.748874999999998,389.98,1.0,1.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,22351.325761318207,125.46242594718932,111282,8541
no,no,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,249.06770833333331,257.24515969482286,291.90416666666664,156.37602245646727,22351.325761318207,88.1437475681305,111282,8541
no,no,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,22351.325761318207,59.33208107948303,111282,8541
no,no,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,247.6604166666667,254.5271070531121,292.75,152.9459034266691,22351.325761318207,61.121219635009766,111282,8541
no,no,0,1.0,60.11750000000001,1.9087500000000008,368.07,82.84300000000007,5.748874999999998,386.73,1.0,1.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,22351.325761318207,69.8561475276947,111282,8541
no,no,0,1.0,60.11750000000001,1.9087500000000008,364.28,82.84300000000007,5.748874999999998,382.94,1.0,1.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,22351.325761318207,133.66114616394043,111282,8541
