time_less_than,b_ANTICIPATE,b_CONTINGENCY,y_ANTICIPATE_memAvg(MB),y_ANTICIPATE_time(sec),y_ANTICIPATE_sol(keuro),y_CONTINGENCY_memAvg(MB),y_CONTINGENCY_time(sec),y_CONTINGENCY_sol(keuro),y_nTraces,y_nScenarios,y_PV_mean,y_PV_std,y_Load_mean,y_Load_std,embedding_time,solve_time,#constraints,#variables,ANTICIPATE_n_cores,CONTINGENCY_n_cores,y_ANTICIPATE_par_time,y_CONTINGENCY_par_time
no,0,1.0,333.927012987013,206.3350649350649,260.14,88.9446753246753,65.04909090909092,296.56377049180327,100.0,100.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,28422.463067770004,1.806601285934448,16413,1814,1.0,1.0,206.3350649350649,65.04909090909092
no,0,1.0,333.927012987013,206.3350649350649,256.46111111111105,86.35628205128205,24.03410256410256,300.76439189189176,31.0,100.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,28422.463067770004,1.2199864387512207,16413,1814,1.0,1.0,206.3350649350649,24.03410256410256
no,0,1.0,333.927012987013,206.3350649350649,263.34666666666664,86.35628205128205,24.03410256410256,300.76439189189176,31.0,100.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,28422.463067770004,1.244905710220337,16413,1814,1.0,1.0,206.3350649350649,24.03410256410256
no,0,1.0,333.927012987013,206.3350649350649,271.69679999999994,88.9446753246753,65.04909090909092,340.25915789473663,100.0,100.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,28422.463067770004,1.2790296077728271,16413,1814,1.0,1.0,206.3350649350649,65.04909090909092
no,0,1.0,333.927012987013,206.3350649350649,271.69679999999994,88.9446753246753,65.04909090909092,295.81181818181824,100.0,100.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,28422.463067770004,1.2136178016662598,16413,1814,1.0,1.0,206.3350649350649,65.04909090909092
no,0,1.0,333.927012987013,206.3350649350649,281.44199999999995,88.3555681818182,59.470681818181816,300.27,90.0,100.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,28422.463067770004,1.2102742195129397,16413,1814,1.0,1.0,206.3350649350649,59.470681818181816
no,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,28422.463067770004,0.4031713008880615,16413,1814,no_sol,no_sol,no_sol,no_sol
no,0,1.0,333.927012987013,206.3350649350649,308.374,88.25693333333334,58.26026666666666,482.25,88.0,100.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,28422.463067770004,1.534348726272583,16413,1814,1.0,1.0,206.3350649350649,58.26026666666666
no,0,1.0,333.927012987013,206.3350649350649,308.374,88.25693333333334,58.26026666666666,482.25,88.0,100.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,28422.463067770004,1.1766550540924072,16413,1814,1.0,1.0,206.3350649350649,58.26026666666666
no,0,1.0,333.927012987013,206.3350649350649,269.7088235294118,88.9446753246753,65.04909090909092,324.2010416666668,100.0,100.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,28422.463067770004,1.204911470413208,16413,1814,1.0,1.0,206.3350649350649,65.04909090909092
